能力维度,关键能力项,目标岗位要求,当前表现描述,目标等级,当前等级,差距等级,权重,差距得分,证据来源,主要风险,培养动作,责任导师 / 负责人,完成时间,验收标准
经营理解能力,收入模型与目标拆解,能把收入目标拆到客户、产品、渠道和周动作。,能看懂总目标，但对客户/产品缺口拆解不足。,4,3,1,0.1,0.1,BI目标、商务例会、周报,只催结果，不知道缺口来自哪里。,每周输出一张目标拆解表。,商务负责人,2周,能独立说明TOP客户、产品、金额和回款节点。
渠道开发能力,伙伴招募与渠道拓展,能定义目标伙伴画像并形成有效商机池。,有渠道触达动作，但伙伴质量分层不足。,4,3,1,0.08,0.08,渠道链接群、伙伴报备,新增多但有效商机少。,建立伙伴A/B/C分层和月度复盘。,渠道负责人,3周,每类伙伴有准入标准、维护动作和退出标准。
渠道管理能力,渠道质量和投放复盘,能用新增、消耗、充值、ROI判断渠道质量。,能汇总日报，复盘还停留在结果陈述。,4,3,1,0.1,0.1,渠道每日业绩表、渠道日报,低ROI渠道继续消耗预算。,每周做一次低效渠道诊断。,渠道负责人,2周,能提出暂停、加量、换素材、换落地页的判断。
商务谈判能力,客户推进与利益交换,能识别客户真实预算、决策链和交换条件。,能跟进客户，但关键节点推进策略不稳定。,4,3,1,0.09,0.09,客户跟进记录、回款清单,客户承诺多，实际回款慢。,复盘3个重点客户谈判过程。,商务负责人,1个月,能给出客户决策人、预算、障碍、下一步。
报价与合同管理能力,报价测算、条款审核、留痕,能平衡客户转化、毛利、风控和合同周期。,能处理常规报价，复杂特批依赖主管。,4,2,2,0.09,0.18,报价单、合同台账、法务意见,低价特批、口头承诺、合同留痕不足。,学习报价模板和高风险条款清单。,商务支持 / 法务,3周,能独立完成一单复杂报价和合同风险说明。
数据分析能力,指标解释与异常定位,能从数据看出业务原因并提出动作。,能看表，但对异常的业务解释不够。,4,3,1,0.09,0.09,BI、Google Sheets、工作Agent,把数据波动误判为人员态度问题。,每周选2个异常指标写原因树。,数据专员 / HRBP,2周,能区分口径问题、资源问题、执行问题。
跨部门协同能力,售前、产品、财务、法务协同,能明确协同对象、交付物、截止时间和升级路径。,能沟通协调，但闭环记录不完整。,4,3,1,0.08,0.08,会议纪要、工作Agent闭环,问题被转发但没人负责。,所有跨部门事项用四要素记录。,业务负责人 / HRBP,2周,每个事项有负责人、动作、截止、验收。
客户与伙伴关系管理能力,客户分层和伙伴分级,能区分重点客户、普通客户和风险客户。,关系维护有动作，经营分层不足。,4,3,1,0.08,0.08,客户清单、伙伴台账,资源平均分配，重点客户经营不足。,建立客户/伙伴四象限。,渠道/商务负责人,3周,能说明每类对象的维护频率和产出目标。
风险合规意识,报价、合同、回款、伙伴异常,能提前识别合规红线并留痕。,能按流程做，但对异常预警敏感度不足。,4,2,2,0.08,0.16,合同审核、财务回款、异常群,私下承诺、逾期、渠道异常未升级。,建立风险清单和升级规则。,法务 / 财务 / HRBP,1个月,能识别并上报3类典型风险。
团队管理与带教能力,任务分配、辅导、复盘,能带教新人和低绩效成员，推动团队结果。,能安排任务，辅导方法还不系统。,4,3,1,0.07,0.07,新人上手、关怀访谈、主管反馈,新人适应慢，低绩效反复。,做7天新人上手清单和月度辅导记录。,直属主管,2周,新人能按清单完成产品、流程、工具、客户观察。
目标拆解与过程管理能力,周目标、日动作、过程检查,能把月目标拆成周计划和日动作。,有计划但缺少过程检查节点。,4,3,1,0.08,0.08,会议转写、日报、Agent任务,月底才发现缺口，纠偏太晚。,建立周一拆解、周三检查、周五复盘节奏。,业务负责人,2周,能持续两周输出目标-动作-结果闭环。
复盘改进能力,原因树与机制沉淀,能把个案问题转成机制优化。,能总结现象，机制化沉淀不足。,4,2,2,0.06,0.12,周报、例会、管理输出,同类问题重复发生。,每月沉淀一个流程模板或检查清单。,HRBP / 业务负责人,1个月,形成可复用模板，并在下一轮业务中使用。
